"sample","Gene","repeats","GPSC","value"
"SPN_214 ","pavA","boxA","1",0
"SPN_214 ","pce","boxA","1",0
"SPN_214 ","psaA","boxA","1",0
"SPN_214 ","nanA","boxA","1",0
"SPN_214 ","hysA","boxA","1",10
"SPN_214 ","cps4B","boxA","1",1
"SPN_214 ","cps4A","boxA","1",1
"SPN_214 ","ply","boxA","1",6
"SPN_214 ","lytA","boxA","1",4
"SPN_214 ","lytC","boxA","1",5
"SPN_337 ","hysA","boxA","10",4
"SPN_337 ","lytC","boxA","10",23
"SPN_337 ","psaA","boxA","10",10
"SPN_337 ","nanA","boxA","10",12
"SPN_337 ","pavA","boxA","10",4
"SPN_337 ","pce","boxA","10",7
"SPN_337 ","cps4B","boxA","10",0
"SPN_337 ","cps4A","boxA","10",0
"SPN_337 ","lytA","boxA","10",3
"SPN_337 ","ply","boxA","10",5
"SPN_280 ","lytC","boxA","904;9",1
"SPN_280 ","pavA","boxA","904;9",0
"SPN_280 ","pce","boxA","904;9",0
"SPN_280 ","lytA","boxA","904;9",3
"SPN_280 ","cps4B","boxA","904;9",1
"SPN_280 ","cps4A","boxA","904;9",1
"SPN_280 ","ply","boxA","904;9",0
"SPN_280 ","hysA","boxA","904;9",0
"SPN_280 ","psaA","boxA","904;9",2
"SPN_280 ","nanA","boxA","904;9",13
"SPN_58 ","pavA","boxA","1",0
"SPN_58 ","pce","boxA","1",0
"SPN_58 ","cps4B","boxA","1",5
"SPN_58 ","cps4A","boxA","1",5
"SPN_58 ","hysA","boxA","1",4
"SPN_58 ","lytA","boxA","1",3
"SPN_58 ","ply","boxA","1",5
"SPN_58 ","psaA","boxA","1",0
"SPN_58 ","nanA","boxA","1",3
"SPN_58 ","lytC","boxA","1",3
"SPN_67 ","lytA","boxA","23",2
"SPN_67 ","ply","boxA","23",4
"SPN_67 ","cps4B","boxA","23",1
"SPN_67 ","cps4A","boxA","23",1
"SPN_67 ","pavA","boxA","23",1
"SPN_67 ","psaA","boxA","23",2
"SPN_67 ","nanA","boxA","23",3
"SPN_67 ","lytC","boxA","23",5
"SPN_67 ","lytA","boxA","23",2
"SPN_67 ","hysA","boxA","23",5
"SPN_67 ","pce","boxA","23",6
"SPN_323 ","pce","boxA","1",0
"SPN_323 ","pavA","boxA","1",1
"SPN_323 ","cps4B","boxA","1",11
"SPN_323 ","cps4A","boxA","1",11
"SPN_323 ","hysA","boxA","1",11
"SPN_323 ","psaA","boxA","1",0
"SPN_323 ","nanA","boxA","1",13
"SPN_323 ","ply","boxA","1",6
"SPN_323 ","lytA","boxA","1",4
"SPN_323 ","lytC","boxA","1",3
"JIP_P20011 ","ply","boxA","904;9",5
"JIP_P20011 ","lytA","boxA","904;9",3
"JIP_P20011 ","pavA","boxA","904;9",1
