"Gene","adjpvals","comp","zvals"
"cps4A",1.06929062828197e-06,"1 - 10",-5.62938573275421
"cps4A",0.0210215578646469,"1 - 104",2.665445211026
"cps4A",0.000174404125629891,"10 - 104",4.38126897472683
"cps4A",0.021143776224325,"1 - 11",2.665445211026
"cps4A",0.000180030065166339,"10 - 11",4.38126897472683
"cps4A",0.5,"104 - 11",0
"cps4A",0.106836423737338,"1 - 111",1.68413860232475
"cps4A",0.0114760022800315,"10 - 111",2.9249399577169
"cps4A",0.468308221695194,"104 - 111",-0.180933341472654
"cps4A",0.468850245099934,"11 - 111",-0.180933341472654
"cps4A",0.419211070802323,"1 - 116",0.443200455374648
"cps4A",0.108187131199238,"10 - 116",1.68997507359411
"cps4A",0.197517566932598,"104 - 116",-1.20444187460025
"cps4A",0.197879320718189,"11 - 116",-1.20444187460025
"cps4A",0.280963816872885,"111 - 116",-0.886384390678648
"cps4A",0.00857752104930215,"1 - 13",-3.07520514414432
"cps4A",0.383713661153087,"10 - 13",0.55570898897038
"cps4A",0.000825180978546235,"104 - 13",-3.85997858318641
"cps4A",0.000838074431336019,"11 - 13",-3.85997858318641
"cps4A",0.0219400106472754,"111 - 13",-2.63949849076613
"cps4A",0.144977096034287,"116 - 13",-1.44429802219591
"cps4A",4.94752727454466e-05,"1 - 147",-4.72499806484176
"cps4A",0.0112531923396682,"10 - 147",-2.93990089636842
"cps4A",3.54568484015631e-06,"104 - 147",-5.33141559723652
"cps4A",3.84115857683601e-06,"11 - 147",-5.33141559723652
"cps4A",0.000310267284797374,"111 - 147",-4.17214926517571
"cps4A",0.00711807372487481,"116 - 147",-3.14864073204811
"cps4A",0.0097083971802601,"13 - 147",-3.02284935674943
"cps4A",0.400998917311078,"1 - 16",-0.499847777630488
"cps4A",0.319838591042224,"10 - 16",0.751466208621475
"cps4A",0.0692721837517679,"104 - 16",-1.98225494772071
"cps4A",0.0694866487169436,"11 - 16",-1.98225494772071
"cps4A",0.125951818930702,"111 - 16",-1.5599902713966
"cps4A",0.344136315484867,"116 - 16",-0.673605880717955
"cps4A",0.391052746878505,"13 - 16",0.536008037926957
"cps4A",0.0366591620523814,"147 - 16",2.37082765892766
"cps4A",0.0454160075051524,"1 - 170",-2.25399843936622
"cps4A",0.252771223880781,"10 - 170",-0.994240838928481
"cps4A",0.00325557805787485,"104 - 170",-3.4290540287954
"cps4A",0.00329299849532168,"11 - 170",-3.4290540287954
"cps4A",0.0144216571052036,"111 - 170",-2.81295502977927
"cps4A",0.0760645386578873,"116 - 170",-1.92657063910062
"cps4A",0.209696336052994,"13 - 170",-1.15348929761881
"cps4A",0.273395105179392,"147 - 170",0.924028577852966
"cps4A",0.186554157301209,"16 - 170",-1.25296475838267
"cps4A",0.0665338180074286,"1 - 176",-2.02329230594133
"cps4A",0.45973881802268,"10 - 176",-0.263519241804691
"cps4A",0.00373458503043368,"104 - 176",-3.38242340766393
"cps4A",0.00377608041966072,"11 - 176",-3.38242340766393
"cps4A",0.0242832737803104,"111 - 176",-2.58080380613486
"cps4A",0.125224806817621,"116 - 176",-1.55729527300726
"cps4A",0.398960143272457,"13 - 176",-0.506711259381779
"cps4A",0.0744269235607773,"147 - 176",1.94899218957258
"cps4A",0.311776210469137,"16 - 176",-0.779482199886805
"cps4A",0.34538565804379,"170 - 176",0.66731688118789
"cps4A",0.163346885505242,"1 - 185",-1.34847418443036
"cps4A",0.313420622049656,"10 - 185",0.772224299239404
"cps4A",0.010481538407677,"104 - 185",-2.98492898268457
"cps4A",0.0105640702061626,"11 - 185",-2.98492898268457
"cps4A",0.0524603167211742,"111 - 185",-2.16788477073605
"cps4A",0.227630167687637,"116 - 185",-1.08229003417082
"cps4A",0.427122715241992,"13 - 185",0.402672757670333
"cps4A",0.0132904378265285,"147 - 185",2.85534418939807
"cps4A",0.460266131965165,"16 - 185",-0.257294686422288
"cps4A",0.180176190185556,"170 - 185",1.27726747544129
"cps4A",0.32929862094626,"176 - 185",0.720330216137492
"cps4A",0.0568341026200677,"1 - 2",2.12287863862414
"cps4A",0.00381855060164601,"10 - 2",3.36156811635653
"cps4A",0.469393524642344,"104 - 2",0.180933341472654
"cps4A",0.469938064694133,"11 - 2",0.180933341472654
"cps4A",0.448035355121647,"111 - 2",0.313385740213847
"cps4A",0.197637279148447,"116 - 2",1.19977013089249
"cps4A",0.00866432350247197,"13 - 2",3.06206773666636
"cps4A",9.43922983600731e-05,"147 - 2",4.53401594812102
"cps4A",0.0822244874996064,"16 - 2",1.87337601161045
"cps4A",0.00740878422060679,"170 - 2",3.12634076999312
"cps4A",0.0112344253243293,"176 - 2",2.94267048908017
"cps4A",0.0256084244439476,"185 - 2",2.55170234883022
"cps4A",0.474942304283271,"1 - 23",0.194917482023762
"cps4A",0.0139249466594333,"10 - 23",2.83226016850556
"cps4A",0.050869913760293,"104 - 23",-2.1888519177874
"cps4A",0.051061875699011,"11 - 23",-2.1888519177874
"cps4A",0.14081127145017,"111 - 23",-1.46947364092049
"cps4A",0.452393697765517,"116 - 23",-0.325156313108282
"cps4A",0.0577055724650274,"13 - 23",2.11530753004189
"cps4A",0.000323408864161829,"147 - 23",4.1834085322813
"cps4A",0.38828492562737,"16 - 23",0.544465139534391
"cps4A",0.0528507163596899,"170 - 23",2.16203568706802
"cps4A",0.0835296922307609,"176 - 23",1.85391730793486
"cps4A",0.193339616125166,"185 - 23",1.2235163287782
"cps4A",0.0830450807592983,"2 - 23",-1.87405289184952
"cps4A",0.107098921092957,"1 - 236",1.68413860232475
"cps4A",0.0115573923671239,"10 - 236",2.9249399577169
"cps4A",0.47048386964732,"104 - 236",-0.180933341472654
"cps4A",0.471030943914352,"11 - 236",-0.180933341472654
