sample,boxA,boxB,boxC,RUP,SPRITE
SPN_271,124,166,119,109,30
SPN_223,122,172,116,106,28
SPN_59,119,166,118,107,30
SPN_105,125,188,123,108,30
SPN_214,118,170,117,101,29
SPN_337,124,183,121,107,30
SPN_280,118,171,114,98,29
SPN_58,119,176,118,98,28
SPN_67,123,185,122,104,28
SPN_323,117,170,116,99,29
JIP_P20011,123,176,121,98,29
SPN_55,119,187,120,110,28
SPN_221,117,164,117,100,29
SPN_362,117,162,116,100,29
SPN_228,117,161,116,100,29
SPN_107,124,199,121,105,29
SPN_264,124,181,122,109,28
JIP_6816,117,167,116,98,28
SPN_3690,127,181,125,105,30
SPN_140,127,175,122,106,31
Spn_44,128,191,128,99,28
SPN_2445,119,178,120,110,28
SPN_1192,126,163,122,110,30
SPN_322,124,182,121,107,30
JIP_1580,127,175,123,106,31
SPN_6,125,181,121,99,28
SPN_272,121,176,120,110,27
JIP_A9950,116,155,115,101,29
SPN_343,130,207,127,102,31
SPN_62,120,192,118,109,30
SPN_45,117,173,118,102,30
SPN_158,130,203,127,101,30
SPN_265,117,165,116,100,29
SPN_219,119,177,117,96,33
SPN_78,121,180,120,111,28
SPN_19,121,175,120,103,27
SPN_76,123,179,124,106,29
SPN_260,128,202,127,105,28
SPN_93,127,202,125,101,32
SPN_P276,117,166,117,100,29
SPN_310,118,156,117,101,29
SPN_60,121,180,120,109,28
SPN_7484,120,170,121,100,28
SPN_66,119,177,120,110,28
SPN_6800,117,165,116,97,28
SPN_2585,123,178,124,108,29
JIP_A1917,119,179,118,110,29
JIP_1453,116,157,116,97,29
SPN_8,125,172,118,101,30
SPN_346,121,177,119,108,28
SPN_142,122,180,119,105,31
SPN_81,128,168,128,105,31
SPN_147,117,158,116,101,29
SPN_3277,125,199,124,103,29
SPN_230,117,153,110,101,26
SPN_157,124,186,122,109,28
JIP_SF1916,122,171,124,103,29
SPN_287,121,179,120,110,28
SPN_100,122,178,123,107,29
JIP_3941,117,162,117,100,29
SPN_4,122,183,120,103,28
SPN_101,121,168,120,102,26
SPN_329,119,159,115,99,29
SPN_222,118,170,117,100,28
SPN_31,122,170,119,105,31
SPN_210,117,164,117,100,29
SPN_94,118,163,117,100,28
SPN_28,124,187,123,102,31
SPN_152,120,173,117,103,29
SPN_29,123,179,120,105,31
SPN_23,125,193,124,101,27
SPN_18,126,164,124,104,26
SPN_42,117,164,116,99,29
JIP_P766,120,166,118,105,30
SPN_02,125,173,118,101,30
SPN_151,124,175,121,107,30
JIP_A1645,116,161,112,98,29
SPN_27,121,175,117,103,33
SPN_17,124,187,124,108,31
SPN_209,122,179,120,102,26
SPN_80,117,168,116,100,29
JIP_EX3714,117,167,116,100,29
SPN_150,120,172,115,99,29
SPN_56,117,166,117,100,29
SPN_355,121,194,123,101,28
SPN_270,122,187,121,107,31
SPN_218,123,174,120,105,30
JIP_927,117,164,117,100,29
SPN_25,124,182,121,106,27
SPN_53,121,183,120,111,27
SPN_358,128,179,126,107,30
SPN_328,132,191,127,100,29
SPN_216,117,171,116,101,29
SPN_137,118,172,118,109,28
SPN_155,117,165,116,102,29
SPN_286,124,172,121,105,30
JIP_6487,118,167,114,98,29
SPN_229,119,164,115,99,29
SPN_69,119,173,117,96,33
SPN_268,126,182,121,104,27
SPN_341,129,185,122,107,28
SPN_146,119,165,118,99,29
SPN_330,116,165,115,101,29
SPN_333,121,183,120,110,28
SPN_99,125,198,122,110,28
SPN_82,123,182,120,105,30
SPN_347,118,176,118,101,29
JIP_SF621,129,175,124,105,28
SPN_309,122,176,121,102,28
SPN_363,125,203,122,104,29
SPN_211,116,157,115,100,29
SPN_292,118,167,117,100,28
SPN_52,118,160,115,95,28
SPN_68,123,195,120,103,29
JIP_7861,121,179,118,105,30
SPN_263,123,176,120,105,31
SPN_57,129,190,125,102,31
SPN_156,127,192,124,101,30
SPN_345,121,175,119,108,28
SPN_109,117,158,117,100,29
JIP_SF4850,123,179,121,98,29
SPN_103,117,167,117,100,29
SPN_14,121,175,120,102,27
SPN_335,126,186,123,105,29
SPN_145,126,169,124,110,32
SPN_332,116,168,116,100,29
SPN_16,121,166,119,106,28
SPN_149,123,178,121,105,31
SPN_338,132,206,129,103,31
SPN_357,122,191,120,108,30
SPN_348,121,175,119,101,29
SPN_102,122,178,123,107,29
SPN_43,117,158,114,100,30
SPN_364,117,173,117,100,29
SPN_284,121,178,118,105,30
JIP_SF1927,117,161,117,101,29
SPN_7,122,167,120,101,26
SPN_79,129,200,127,101,31
SPN_283,119,168,114,98,29
SPN_154,116,154,114,101,28
JIP_3011,124,169,121,101,31
SPN_148,127,185,124,101,27
SPN_288,121,176,118,105,30
SPN_305,125,200,124,106,29
SPN_224,123,158,122,105,30
JIP_A2258,124,173,119,110,26
SPN_6422,121,172,116,98,30
SPN_306,121,185,120,110,28
SPN_15,122,168,120,106,28
SF3436,117,161,117,100,29
SPN_327,119,195,119,101,28
SPN_46,117,167,116,99,28
SPN_95,125,181,123,105,28
SPN_217,117,154,110,101,26
SPN_326,116,160,115,101,29
SPN_61,121,178,120,110,28
SPN_325,123,200,121,105,29
SPN_106,118,166,117,98,28
SPN_289,124,178,121,98,29
SPN_35,122,176,119,105,31
SPN_324,118,170,115,102,29
SPN_354,118,168,115,95,28
SPN_77,124,184,123,105,28
SPN_13,121,178,120,111,28
SPN_365,117,162,117,100,29
SPN_104,120,179,116,102,29
SPN_139,122,158,114,104,31
SPN_33,118,173,117,98,29
SPN_P924,121,177,120,108,28
SPN_226,121,179,120,109,28
SPN_360,123,189,122,105,28
SPN_SF4572,121,179,118,100,29
JIP_P776,120,166,118,105,30
SPN_340,130,204,127,100,31
SPN_54,118,162,115,96,28
SPN_266,121,172,118,105,30
SPN_258,123,176,120,105,31
SPN_225,118,170,117,99,28
SPN_159,130,177,124,106,28
SPN_215,121,177,120,110,28
SPN_134,129,186,128,99,28
SPN_344,130,195,127,101,30
SPN_356,118,157,109,100,27
SPN_213,118,170,117,98,29
SPN_212,121,185,120,110,28
SPN_20,125,178,125,108,30
SPN_97,120,178,121,109,29
SPN_339,123,190,122,105,28
SPN_349,119,169,118,100,29
SPN_143,121,172,118,105,30
SPN_98,124,161,118,109,29
JIP_3045,129,187,128,99,28
SPN_32,130,193,128,101,31
SPN_285,123,196,124,106,29
SPN_334,115,168,114,99,29
SPN_108,123,174,120,105,31
SPN_135,132,181,128,105,32
