sample,boxA,boxB,boxC,RUP,SPRITE
GCF_000722765,78,66,77,4,10
GCF_001546795,93,73,93,13,20
GCF_002014875,73,55,71,2,13
GCF_023109075,43,36,42,1,3
GCF_023110595,61,51,60,0,5
GCF_002096765,73,50,69,1,13
GCF_008763935,60,44,61,2,9
GCF_026782865,55,41,54,1,4
GCF_000146585,23,16,23,0,0
GCF_031191225,75,53,74,1,9
GCF_002014755,76,54,74,1,9
GCF_002005545,81,76,81,13,19
GCF_001579035,105,120,100,23,23
GCF_002860865,102,85,102,12,23
GCF_001579665,43,36,44,1,9
GCF_023109755,56,39,57,2,5
GCF_023110375,77,57,79,4,8
GCF_002096835,78,65,81,3,7
GCF_002014795,86,59,87,5,12
GCF_023110515,51,34,52,0,6
GCF_020640935,76,59,75,2,6
GCF_023109515,80,61,78,5,9
GCF_019047825,75,53,74,1,9
GCF_005844455,102,83,98,74,15
GCF_001579045,115,118,116,13,33
GCF_000148585,75,53,74,1,9
GCF_002096855,59,43,60,5,8
GCF_002096935,68,66,67,2,4
GCF_023109105,111,103,110,0,6
GCF_023110415,73,48,70,1,10
GCF_023110215,100,113,101,6,8
GCF_023110245,72,60,72,4,10
GCF_002096735,67,45,66,3,12
GCF_023110445,73,48,70,1,10
GCF_001281025,58,45,59,3,12
GCF_002096815,55,33,56,1,6
GCF_026782935,92,95,94,7,10
GCF_009730515,75,53,74,1,9
GCF_023109235,71,53,71,4,8
GCF_002096915,68,50,67,6,10
GCF_026782895,60,52,63,3,11
GCF_002096845,104,110,108,14,22
GCF_013305725,60,34,62,1,12
GCF_002096755,57,39,54,2,8
GCF_023110315,66,46,67,3,8
GCF_000027165,104,103,103,9,15
GCF_016658865,47,38,47,1,6
